event_id,label,station,sampling_rate,window_seconds,channels,split
evt_0001,earthquake,STA03,100,30,Z/N/E,train
evt_0002,earthquake,STA02,100,30,Z/N/E,train
evt_0003,earthquake,STA01,100,30,Z/N/E,train
evt_0004,earthquake,STA04,100,30,Z/N/E,train
evt_0005,earthquake,STA01,100,30,Z/N/E,test
evt_0006,earthquake,STA02,100,30,Z/N/E,train
evt_0007,earthquake,STA04,100,30,Z/N/E,train
evt_0008,earthquake,STA02,100,30,Z/N/E,train
evt_0009,earthquake,STA04,100,30,Z/N/E,train
evt_0010,earthquake,STA04,100,30,Z/N/E,test
evt_0011,earthquake,STA04,100,30,Z/N/E,train
evt_0012,earthquake,STA04,100,30,Z/N/E,train
evt_0013,earthquake,STA04,100,30,Z/N/E,train
evt_0014,earthquake,STA04,100,30,Z/N/E,train
evt_0015,earthquake,STA03,100,30,Z/N/E,val
evt_0016,earthquake,STA04,100,30,Z/N/E,train
evt_0017,earthquake,STA03,100,30,Z/N/E,train
evt_0018,earthquake,STA01,100,30,Z/N/E,train
evt_0019,earthquake,STA01,100,30,Z/N/E,train
evt_0020,earthquake,STA03,100,30,Z/N/E,test
evt_0021,earthquake,STA01,100,30,Z/N/E,train
evt_0022,earthquake,STA04,100,30,Z/N/E,train
evt_0023,earthquake,STA03,100,30,Z/N/E,train
evt_0024,earthquake,STA03,100,30,Z/N/E,train
evt_0025,earthquake,STA03,100,30,Z/N/E,test
evt_0026,earthquake,STA04,100,30,Z/N/E,train
evt_0027,earthquake,STA04,100,30,Z/N/E,train
evt_0028,earthquake,STA01,100,30,Z/N/E,train
evt_0029,earthquake,STA04,100,30,Z/N/E,train
evt_0030,earthquake,STA02,100,30,Z/N/E,val
evt_0031,earthquake,STA02,100,30,Z/N/E,train
evt_0032,earthquake,STA01,100,30,Z/N/E,train
evt_0033,earthquake,STA01,100,30,Z/N/E,train
evt_0034,earthquake,STA02,100,30,Z/N/E,train
evt_0035,earthquake,STA02,100,30,Z/N/E,test
evt_0036,earthquake,STA02,100,30,Z/N/E,train
evt_0037,earthquake,STA03,100,30,Z/N/E,train
evt_0038,earthquake,STA01,100,30,Z/N/E,train
evt_0039,earthquake,STA03,100,30,Z/N/E,train
evt_0040,earthquake,STA04,100,30,Z/N/E,test
evt_0041,earthquake,STA01,100,30,Z/N/E,train
evt_0042,earthquake,STA02,100,30,Z/N/E,train
evt_0043,earthquake,STA02,100,30,Z/N/E,train
evt_0044,earthquake,STA01,100,30,Z/N/E,train
evt_0045,earthquake,STA02,100,30,Z/N/E,val
evt_0046,earthquake,STA01,100,30,Z/N/E,train
evt_0047,earthquake,STA04,100,30,Z/N/E,train
evt_0048,earthquake,STA04,100,30,Z/N/E,train
evt_0049,earthquake,STA02,100,30,Z/N/E,train
evt_0050,earthquake,STA04,100,30,Z/N/E,test
evt_0051,earthquake,STA01,100,30,Z/N/E,train
evt_0052,earthquake,STA04,100,30,Z/N/E,train
evt_0053,earthquake,STA03,100,30,Z/N/E,train
evt_0054,earthquake,STA03,100,30,Z/N/E,train
evt_0055,earthquake,STA01,100,30,Z/N/E,test
evt_0056,earthquake,STA03,100,30,Z/N/E,train
evt_0057,earthquake,STA02,100,30,Z/N/E,train
evt_0058,earthquake,STA01,100,30,Z/N/E,train
evt_0059,earthquake,STA02,100,30,Z/N/E,train
evt_0060,earthquake,STA02,100,30,Z/N/E,val
evt_0061,explosion,STA02,100,30,Z/N/E,train
evt_0062,explosion,STA04,100,30,Z/N/E,train
evt_0063,explosion,STA02,100,30,Z/N/E,train
evt_0064,explosion,STA01,100,30,Z/N/E,train
evt_0065,explosion,STA03,100,30,Z/N/E,test
evt_0066,explosion,STA01,100,30,Z/N/E,train
evt_0067,explosion,STA04,100,30,Z/N/E,train
evt_0068,explosion,STA03,100,30,Z/N/E,train
evt_0069,explosion,STA04,100,30,Z/N/E,train
evt_0070,explosion,STA04,100,30,Z/N/E,test
evt_0071,explosion,STA04,100,30,Z/N/E,train
evt_0072,explosion,STA02,100,30,Z/N/E,train
evt_0073,explosion,STA04,100,30,Z/N/E,train
evt_0074,explosion,STA02,100,30,Z/N/E,train
evt_0075,explosion,STA01,100,30,Z/N/E,val
evt_0076,explosion,STA03,100,30,Z/N/E,train
evt_0077,explosion,STA01,100,30,Z/N/E,train
evt_0078,explosion,STA02,100,30,Z/N/E,train
evt_0079,explosion,STA01,100,30,Z/N/E,train
evt_0080,explosion,STA04,100,30,Z/N/E,test
evt_0081,explosion,STA01,100,30,Z/N/E,train
evt_0082,explosion,STA03,100,30,Z/N/E,train
evt_0083,explosion,STA02,100,30,Z/N/E,train
evt_0084,explosion,STA01,100,30,Z/N/E,train
evt_0085,explosion,STA01,100,30,Z/N/E,test
evt_0086,explosion,STA04,100,30,Z/N/E,train
evt_0087,explosion,STA02,100,30,Z/N/E,train
evt_0088,explosion,STA02,100,30,Z/N/E,train
evt_0089,explosion,STA02,100,30,Z/N/E,train
evt_0090,explosion,STA01,100,30,Z/N/E,val
evt_0091,explosion,STA01,100,30,Z/N/E,train
evt_0092,explosion,STA01,100,30,Z/N/E,train
evt_0093,explosion,STA04,100,30,Z/N/E,train
evt_0094,explosion,STA04,100,30,Z/N/E,train
evt_0095,explosion,STA04,100,30,Z/N/E,test
evt_0096,noise,STA02,100,30,Z/N/E,train
evt_0097,noise,STA02,100,30,Z/N/E,train
evt_0098,noise,STA03,100,30,Z/N/E,train
evt_0099,noise,STA02,100,30,Z/N/E,train
evt_0100,noise,STA01,100,30,Z/N/E,test
evt_0101,noise,STA03,100,30,Z/N/E,train
evt_0102,noise,STA02,100,30,Z/N/E,train
evt_0103,noise,STA03,100,30,Z/N/E,train
evt_0104,noise,STA02,100,30,Z/N/E,train
evt_0105,noise,STA03,100,30,Z/N/E,val
evt_0106,noise,STA02,100,30,Z/N/E,train
evt_0107,noise,STA04,100,30,Z/N/E,train
evt_0108,noise,STA01,100,30,Z/N/E,train
evt_0109,noise,STA03,100,30,Z/N/E,train
evt_0110,noise,STA01,100,30,Z/N/E,test
evt_0111,noise,STA04,100,30,Z/N/E,train
evt_0112,noise,STA03,100,30,Z/N/E,train
evt_0113,noise,STA03,100,30,Z/N/E,train
evt_0114,noise,STA03,100,30,Z/N/E,train
evt_0115,noise,STA03,100,30,Z/N/E,test
evt_0116,noise,STA01,100,30,Z/N/E,train
evt_0117,noise,STA03,100,30,Z/N/E,train
evt_0118,noise,STA01,100,30,Z/N/E,train
evt_0119,noise,STA04,100,30,Z/N/E,train
evt_0120,noise,STA01,100,30,Z/N/E,val
